Rank,Stock,Selection Score
1,Trent Ltd,0.5328845494
2,Bharat Electronics Ltd,0.5328845494
3,Power Grid Corporation of India Ltd,0.4583274169
4,ITC Ltd,0.4401547036
5,Bharti Airtel Ltd,0.4195934048
6,Sun Pharmaceutical Industries Ltd,0.4139770946
7,Hindustan Unilever Ltd,0.3896818664
8,Infosys Ltd,0.3315050942
9,Larsen & Toubro Ltd,0.3315050942
10,NTPC Ltd,0.3216732747
11,Mahindra & Mahindra Ltd,0.3039951531
12,Maruti Suzuki India Ltd,0.2443194454
13,Asian Paints Ltd,0.1909836766
14,Tata Consultancy Services Ltd,0.1652385749
15,Tata Steel Ltd,0.1652385749
16,Reliance Industries Ltd,0.1652385749
17,Tech Mahindra Ltd,0.1652385749
18,Titan Company Ltd,0.1652385749
19,State Bank of India,0.1652385749
20,Adani Ports and Special Economic Zone Ltd,0.1652385749
21,Kotak Mahindra Bank Ltd,0.1652385749
22,ICICI Bank Ltd,0.1652385749
23,HDFC Bank Ltd,0.1652385749
24,HCL Technologies Ltd,0.1652385749
25,Bajaj Finance Ltd,0.1652385749
26,Bajaj Finserv Ltd,0.1652385749
27,AXIS Bank Ltd,0.1652385749
28,UltraTech Cement Ltd,0.1652385749