Ticker,FY13,FY14,FY15,FY16,FY17,FY18,FY19,FY20,FY21,FY22,FY23,FY24,FY25
ADANIPORTS.NS,0.1398121508,0.3588626173,0.9408025682,-0.1452307746,0.2914465619,0.04910472968,0.1014841376,-0.2686322387,1.394301871,0.1060375845,-0.1039601671,1.29889269,-0.2572505227
ASIANPAINT.NS,0.8494458679,0.1641588641,0.7646689268,0.1771735206,0.2406159897,0.0826354458,0.5329085657,0.1862799055,0.4841441515,0.4723430719,-0.05961546843,0.04940213468,-0.1573326674
AXISBANK.NS,0.2037493805,0.1524095223,0.6849873016,-0.2697756172,0.1026989314,0.05308886106,0.7969122614,-0.2330120641,0.5332879753,0.09091610108,0.3617895204,0.4825939126,0.05023007016
BAJAJFINSV.NS,0.2619333749,0.08580395614,1.487948766,0.2337333438,0.9191727696,0.3495250844,0.3406713245,-0.0440305392,1.327077888,1.047398133,-0.1695567466,0.4539383072,0.1802726689
BAJFINANCE.NS,0.6605688389,0.4076301669,1.329243663,0.8813487035,0.4869716417,0.8818322391,0.2711659281,-0.01450258443,1.109003051,0.9318376849,-0.1791223364,0.4432547142,0.2704919546
BEL.NS,-0.2464550779,0.09112463103,0.8484118243,0.113199772,0.8109437703,-0.05375758609,-0.2506979377,-0.07355820118,0.7057119315,3.261007358,0.9177875242,2.217946495,0.3710221264
BHARTIARTL.NS,-0.07868790982,0.1635886953,0.4164137976,-0.03207782636,0.0555116679,0.1313208713,-0.1742700679,0.3221795463,0.1322689092,0.6850875498,-0.01688779404,1.518938574,0.6716342216
HCLTECH.NS,0.9381562528,0.6041819021,0.6780305526,0.1013915714,0.1404450022,0.2877300843,0.1460484217,-0.1955367653,4.037349605,0.1773496944,0.01009607958,0.5995152562,0.07671274883
HDFCBANK.NS,0.3920948311,0.3334653261,0.7868987231,0.09401838819,0.8958110958,0.5375808513,0.6092560397,-0.1862991816,1.452554175,0.04394115706,0.3256142959,-0.09042705797,0.4696758365
HINDUNILVR.NS,0.1952124996,1.126781804,0.8036478118,0.05128433351,0.09533691908,0.8771605989,0.3858119754,0.4752241441,0.1473707259,-0.2581320124,0.3655288877,-0.2402303123,0.02422887301
ICICIBANK.NS,0.2448516812,0.1997493838,0.3098576348,-0.2698723802,0.6133842994,0.1367902266,0.4723670463,-0.0494062781,0.6918335766,0.2929080322,0.3469311136,0.6415166319,0.6137972561
INFY.NS,0.07442677068,0.1108793642,0.4252476569,0.1612377664,-0.2389790756,0.1502306073,0.6261475891,-0.09871575161,2.792191567,0.6507736071,-0.2641402939,0.07862331724,0.1031943394
ITC.NS,0.6847994908,0.2342496964,0.0583934024,0.07484801557,0.5427207665,-0.1666212518,0.3130209025,-0.5589457939,0.4277616583,0.3584384315,1.453534462,0.2355645214,0.01488003558
KOTAKBANK.NS,0.3135569632,0.2360097829,0.8345383278,0.1436389116,0.3796836228,0.4922594957,0.395219689,0.03623878663,0.3255091084,-0.008539030489,0.06541286331,0.1219058911,0.2667453185
LT.NS,0.1276374644,0.3762233525,0.3490099955,-0.3626612637,0.5308248283,0.3578180974,0.01976095245,-0.2693228733,1.284295727,0.4690568225,0.6173178356,1.128775431,-0.1395477889
M&M.NS,0.3739453368,0.1947159639,0.3341471849,0.08073845066,0.1055220392,0.1618299482,-0.1179328113,-0.29002917,4.088206969,0.05180018917,0.5145867889,0.8316257611,0.2604002527
MARUTI.NS,-0.01909431588,0.6673477034,3.321068444,0.01639893592,0.3469129675,0.7294250067,-0.275746215,-0.1671413037,1.049824323,0.1839679889,0.1577323488,1.401990052,-0.1242970955
NTPC.NS,-0.2198124968,-0.1204436689,0.5044225618,-0.07234045958,0.4547926882,0.1932182065,0.02221495888,-0.3958790856,0.3426974096,0.5474732378,0.5324739317,2.070533329,-0.004527320453
POWERGRID.NS,-0.009102658288,0.1716830934,0.6747862683,-0.03822665265,0.6459432111,-0.02085160488,0.1497698442,-0.3046507967,0.8249115074,1.437907882,0.1338318106,1.346748004,0.0104782482
RELIANCE.NS,0.09292708874,0.3728579154,-0.1707638667,0.20420896,0.506105714,0.6584413984,0.4404391835,-0.1755734464,0.7891932428,0.7599875439,-0.1924421076,0.7345819853,-0.3109840518
SBIN.NS,0.01825090072,-0.00563407389,0.4316663622,-0.236579445,1.345622214,-0.1358648835,0.2471587523,-0.1753110639,0.6234642479,0.4511069322,0.1404832949,0.6705498426,-0.0001495420521
SUNPHARMA.NS,0.8794733337,0.4616381418,1.602367893,-0.1332124547,-0.3137924119,-0.2355365541,0.05358252956,-0.2416821592,1.14052584,0.9936010158,0.1250667053,1.091344655,0.07461924519
TATASTEEL.NS,-0.3380606218,0.2947869447,-0.1377526178,0.1079763757,0.8350793253,0.217063902,-0.2593601442,-0.2352832501,0.9911921127,0.3300868444,-0.1036505098,0.7771875856,-0.04915364171
TCS.NS,0.8578946819,0.442182839,0.5029191432,0.002118603177,-0.04358263466,0.3694945901,0.4899804896,-0.1032083456,1.012532391,0.246960044,-0.2519642498,0.4388982951,-0.02937776206
TECHM.NS,0.7053830089,0.8404542704,0.4230395544,-0.2181991746,0.04831158625,0.4173242737,0.3333151752,-0.1735544673,1.727935969,0.4086042645,-0.1864981871,0.2258898042,0.2241200181
TITAN.NS,0.3278471601,0.07805897221,0.6523329239,-0.007155242102,0.2953202323,0.967898615,0.241153831,-0.046584889,0.8533878411,1.114162696,0.03972867481,1.407346342,-0.2051016855
TRENT.NS,0.09125585019,0.07489280492,0.8043618556,0.06338717596,0.6008380826,0.3845709303,0.07417294354,0.1814321629,0.5839649033,2.009497399,0.1082161265,6.301790176,0.1921078521
ULTRACEMCO.NS,0.6769607015,0.2202550799,0.3851325295,0.2314146309,0.2471335234,-0.07348807635,-0.02345156246,-0.1038260844,1.564226083,-0.04601643911,0.2259207317,1.055202491,0.1540425751